1001;MIE GORENG;MIE GR (B);33000;Y;N;Y;System;System;2015-03-19;2015-03-19
1002;MIE GORENG SEAFOOD;MIE GR SF (B);35000;Y;N;Y;System;System;2015-03-19;2015-03-19
1003;MIE GORENG UDANG;MIE GR UDG (B);35000;Y;N;Y;System;System;2015-03-19;2015-03-19
1004;MIE MASAK;MIE MSK (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1005;MIE MASAK SEAFOOD;MIE MSK SF (B);36000;Y;N;Y;System;System;2015-03-19;2015-03-19
1006;MIE CAP CAY;MIE CCY (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1007;MIE CAP CAY SEAFOOD;MIE CCY SF (B);36000;Y;N;Y;System;System;2015-03-19;2015-03-19
1008;IFU MIE;IFU MIE (B);35000;Y;N;Y;System;System;2015-03-19;2015-03-19
1009;IFU MIE SEAFOOD;IFU MIE SF (B);37000;Y;N;Y;System;System;2015-03-19;2015-03-19
1010;BIHUN GORENG;BHN GR (B);33000;Y;N;Y;System;System;2015-03-19;2015-03-19
1011;BIHUN GORENG SEAFOOD;BHN GR SF (B);35000;Y;N;Y;System;System;2015-03-19;2015-03-19
1012;BIHUN GORENG UDANG;BHN GR UDG (B);35000;Y;N;Y;System;System;2015-03-19;2015-03-19
1013;BIHUN MASAK;BHN MSK (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1014;BIHUN MASAK SEAFOOD;BHN MSK SF (B);36000;Y;N;Y;System;System;2015-03-19;2015-03-19
1015;BIHUN CAP CAY;BHN CCY (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1016;BIHUN CAP CAY SEAFOOD;BHN CCY SF (B);36000;Y;N;Y;System;System;2015-03-19;2015-03-19
1017;KWETIAU GORENG;KWTIAU GR (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1018;KWETIAU GORENG SEAFOOD;KWTIAU GR SF (B);36000;Y;N;Y;System;System;2015-03-19;2015-03-19
1019;KWETIAU GORENG UDANG;KWTIAU GR UDG (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1020;KWETIAU MASAK;KWTIAU MSK (B);36000;Y;N;Y;System;System;2015-03-19;2015-03-19
1021;KWETIAU MASAK SEAFOOD;KWTIAU MSK SF (B);37000;Y;N;Y;System;System;2015-03-19;2015-03-19
1022;KWETIAU CAP CAY;KWTIAU CCY (B);35000;Y;N;Y;System;System;2015-03-19;2015-03-19
1023;KWETIAU CAP CAY SEAFOOD;KWTIAU CCY SF (B);37000;Y;N;Y;System;System;2015-03-19;2015-03-19
1024;KWETIAU SIRAM;KWTIAU SRM (B);35000;Y;N;Y;System;System;2015-03-19;2015-03-19
1025;NASI PUTIH;NS (B);5000;Y;N;Y;System;System;2015-03-19;2015-03-19
1026;NASI CAP CAY (CAMPUR);NS CCY (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1027;NASI CAP CAY SEAFOOD;NS CCY SF (B);36000;Y;N;Y;System;System;2015-03-19;2015-03-19
1028;NASI GORENG;NS GRG (B);31000;Y;N;Y;System;System;2015-03-19;2015-03-19
1029;NASI GORENG TELOR;NS GRG TLR (B);24000;Y;N;Y;System;System;2015-03-19;2015-03-19
1030;NASI GORENG IKAN ASIN;NS GRG IKN ASN (B);26000;Y;N;Y;System;System;2015-03-19;2015-03-19
1031;NASI GORENG SEAFOOD;NS GRG SF (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1032;NASI GORENG UDANG;NS GRG UDG (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1033;NASI GORENG SPECIAL;NS GRG SPC (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1034;PAKET AYAM GR MENTEGA;P. AYM GR MTG (B);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
1035;PAKET AYAM GR TEPUNG;P. AYM GR TPG (B);27000;Y;N;Y;System;System;2015-03-19;2015-03-19
1036;PAKET AYAM NANKING;P AYM NANKING (B);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
1037;PAKET PUYUNG HAI;P PY HAI (B);26000;Y;N;Y;System;System;2015-03-19;2015-03-19
1038;PAKET BISTIK AYAM;P BSTK AYM (B);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
1039;PAKET CUMI GR MENTEGA;P CM GR MTG (B);29000;Y;N;Y;System;System;2015-03-19;2015-03-19
1040;PAKET CUMI GR TEPUNG;P CM GR TPG (B);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
1041;PAKET UDANG GR TEPUNG;P UDG GR TPG (B);29000;Y;N;Y;System;System;2015-03-19;2015-03-19
1042;PAKET TAHU CAH AYAM JAMUR;P THU C AYM JMR (B);26000;Y;N;Y;System;System;2015-03-19;2015-03-19
1043;PAKET SAPO TAHU AYAM;P SPO TH AYM (B);27000;Y;N;Y;System;System;2015-03-19;2015-03-19
1044;PAKET SAPO TAHU SEAFOOD;P SPO TH SF (B);30000;Y;N;Y;System;System;2015-03-19;2015-03-19
1045;PAKET AYAM KULUYUK;P AYM KLYK (B);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
1046;PAKET UDANG KULUYUK;P UDG KLYK (B);29000;Y;N;Y;System;System;2015-03-19;2015-03-19
1047;CAP CAY GORENG;CCY GR (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1048;CAP CAY GR SEAFOOD;CCY GR SF (B);36000;Y;N;Y;System;System;2015-03-19;2015-03-19
1049;CAP CAY KUAH;CCY KUAH (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1050;CAP CAY KUAH SEAFOOD;CCY KUAH SF (B);36000;Y;N;Y;System;System;2015-03-19;2015-03-19
1051;KANGKUNG CAH POLOS;KKUNG C PLS (B);20000;Y;N;Y;System;System;2015-03-19;2015-03-19
1052;KANGKUNG CAH AYAM;KKUNG C AYM (B);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
1053;KANGKUNG CAH UDANG;KKUNG C UDG (B);30000;Y;N;Y;System;System;2015-03-19;2015-03-19
1054;KANGKUNG CAH CUMI;KKUNG C CUMI (B);31000;Y;N;Y;System;System;2015-03-19;2015-03-19
1055;TOGE TAHU CAH IKAN ASIN;TG THU C IKN ASN (B);27000;Y;N;Y;System;System;2015-03-19;2015-03-19
1056;TOGE CAH IKAN ASIN;TG C IKN ASN (B);25000;Y;N;Y;System;System;2015-03-19;2015-03-19
1057;AYAM KULUYUK;AYM KULUYUK (B);37000;Y;N;Y;System;System;2015-03-19;2015-03-19
1058;AYAM CAH JAMUR;AYM C JMR (B);35000;Y;N;Y;System;System;2015-03-19;2015-03-19
1059;SAPO TAHU AYAM;SPO THU AYM (B);35000;Y;N;Y;System;System;2015-03-19;2015-03-19
1060;SAPO TAHU SEAFOOD;SPO THU SF (B);37000;Y;N;Y;System;System;2015-03-19;2015-03-19
1061;MUN TAHU AYAM;MUN THU AYM (B);32000;Y;N;Y;System;System;2015-03-19;2015-03-19
1062;MUN TAHU UDANG;MUN THU AYM JMR (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1063;TAHU CAH AYAM JAMUR;THU C AYM JMR (B);32000;Y;N;Y;System;System;2015-03-19;2015-03-19
1064;UDANG KULUYUK;UDG KLUYUK (B);40000;Y;N;Y;System;System;2015-03-19;2015-03-19
1065;AYAM RICA-RICA;AYM RCA-RCA (B);41000;Y;N;Y;System;System;2015-03-19;2015-03-19
1066;AYAM GORENG MENTEGA;AYM GR MTG (B);41000;Y;N;Y;System;System;2015-03-19;2015-03-19
1067;AYAM GORENG TEPUNG;AYM GR TPG (B);39000;Y;N;Y;System;System;2015-03-19;2015-03-19
1068;AYAM NANKING;AYM NANKING (B);43000;Y;N;Y;System;System;2015-03-19;2015-03-19
1069;AYAM GORENG KERING;AYM GR KRING (B);41000;Y;N;Y;System;System;2015-03-19;2015-03-19
1070;BISTIK AYAM;BSTK AYM (B);40000;Y;N;Y;System;System;2015-03-19;2015-03-19
1071;PUYUNG HAI;PY HAI (B);36000;Y;N;Y;System;System;2015-03-19;2015-03-19
1072;UDANG GORENG MENTEGA;UDG GR MTG (B);44000;Y;N;Y;System;System;2015-03-19;2015-03-19
1073;UDANG GORENG TEPUNG;UDG GR TPG (B);42000;Y;N;Y;System;System;2015-03-19;2015-03-19
1074;CUMI GORENG TEPUNG;CM GR TPG (B);41000;Y;N;Y;System;System;2015-03-19;2015-03-19
1075;CUMI GORENG MENTEGA;CM GR MTG (B);43000;Y;N;Y;System;System;2015-03-19;2015-03-19
1076;BASO KUAH;BSO KUAH (B);19000;Y;N;Y;System;System;2015-03-19;2015-03-19
1077;BASO PANGSIT KUAH;BSO PGST KUAH (B);19000;Y;N;Y;System;System;2015-03-19;2015-03-19
1078;PANGSIT KUAH;PGST KUAH (B);19000;Y;N;Y;System;System;2015-03-19;2015-03-19
1079;PANGSIT GORENG;PGST GR (B);19000;Y;N;Y;System;System;2015-03-19;2015-03-19
2001;MIE GORENG;MIE GR (S);27000;Y;N;Y;System;System;2015-03-19;2015-03-19
2002;MIE GORENG SEAFOOD;MIE GR SF (S);29000;Y;N;Y;System;System;2015-03-19;2015-03-19
2003;MIE GORENG UDANG;MIE GR UDG (S);29000;Y;N;Y;System;System;2015-03-19;2015-03-19
2004;MIE MASAK;MIE MSK (S);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
2005;MIE MASAK SEAFOOD;MIE MSK SF (S);30000;Y;N;Y;System;System;2015-03-19;2015-03-19
2006;MIE CAP CAY;MIE CCY (S);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
2007;MIE CAP CAY SEAFOOD;MIE CCY SF (S);30000;Y;N;Y;System;System;2015-03-19;2015-03-19
2008;IFU MIE;IFU MIE (S);29000;Y;N;Y;System;System;2015-03-19;2015-03-19
2009;IFU MIE SEAFOOD;IFU MIE SF (S);31000;Y;N;Y;System;System;2015-03-19;2015-03-19
2010;BIHUN GORENG;BHN GR (S);27000;Y;N;Y;System;System;2015-03-19;2015-03-19
2011;BIHUN GORENG SEAFOOD;BHN GR SF (S);29000;Y;N;Y;System;System;2015-03-19;2015-03-19
2012;BIHUN GORENG UDANG;BHN GR UDG (S);29000;Y;N;Y;System;System;2015-03-19;2015-03-19
2013;BIHUN MASAK;BHN MSK (S);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
2014;BIHUN MASAK SEAFOOD;BHN MSK SF (S);30000;Y;N;Y;System;System;2015-03-19;2015-03-19
2015;BIHUN CAP CAY;BHN CCY (S);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
2016;BIHUN CAP CAY SEAFOOD;BHN CCY SF (S);30000;Y;N;Y;System;System;2015-03-19;2015-03-19
2017;KWETIAU GORENG;KWTIAU GR (S);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
2018;KWETIAU GORENG SEAFOOD;KWTIAU GR SF (S);30000;Y;N;Y;System;System;2015-03-19;2015-03-19
2019;KWETIAU GORENG UDANG;KWTIAU GR UDG (S);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
2020;KWETIAU MASAK;KWTIAU MSK (S);30000;Y;N;Y;System;System;2015-03-19;2015-03-19
2021;KWETIAU MASAK SEAFOOD;KWTIAU MSK SF (S);31000;Y;N;Y;System;System;2015-03-19;2015-03-19
2022;KWETIAU CAP CAY;KWTIAU CCY (S);29000;Y;N;Y;System;System;2015-03-19;2015-03-19
2023;KWETIAU CAP CAY SEAFOOD;KWTIAU CCY SF (S);31000;Y;N;Y;System;System;2015-03-19;2015-03-19
2024;KWETIAU SIRAM;KWTIAU SRM (S);29000;Y;N;Y;System;System;2015-03-19;2015-03-19
2025;NASI PUTIH;NS (S);3000;Y;N;Y;System;System;2015-03-19;2015-03-19
2026;NASI CAP CAY (CAMPUR);NS CCY (S);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
2027;NASI CAP CAY SEAFOOD;NS CCY SF (S);30000;Y;N;Y;System;System;2015-03-19;2015-03-19
2028;NASI GORENG;NS GRG (S);25000;Y;N;Y;System;System;2015-03-19;2015-03-19
2029;NASI GORENG TELOR;NS GRG TLR (S);20000;Y;N;Y;System;System;2015-03-19;2015-03-19
2030;NASI GORENG IKAN ASIN;NS GRG IKN ASN (S);21000;Y;N;Y;System;System;2015-03-19;2015-03-19
2031;NASI GORENG SEAFOOD;NS GRG SF (S);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
2032;NASI GORENG UDANG;NS GRG UDG (S);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
2033;NASI GORENG SPECIAL;NS GRG SPC (S);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
2034;PAKET AYAM GR MENTEGA;P. AYM GR MTG (S);24000;Y;N;Y;System;System;2015-03-19;2015-03-19
2035;PAKET AYAM GR TEPUNG;P. AYM GR TPG (S);23000;Y;N;Y;System;System;2015-03-19;2015-03-19
2036;PAKET AYAM NANKING;P AYM NANKING (S);24000;Y;N;Y;System;System;2015-03-19;2015-03-19
2037;PAKET PUYUNG HAI;P PY HAI (S);22000;Y;N;Y;System;System;2015-03-19;2015-03-19
2038;PAKET BISTIK AYAM;P BSTK AYM (S);24000;Y;N;Y;System;System;2015-03-19;2015-03-19
2039;PAKET CUMI GR MENTEGA;P CM GR MTG (S);25000;Y;N;Y;System;System;2015-03-19;2015-03-19
2040;PAKET CUMI GR TEPUNG;P CM GR TPG (S);24000;Y;N;Y;System;System;2015-03-19;2015-03-19
2041;PAKET UDANG GR TEPUNG;P UDG GR TPG (S);25000;Y;N;Y;System;System;2015-03-19;2015-03-19
2042;PAKET TAHU CAH AYAM JAMUR;P THU C AYM JMR (S);22000;Y;N;Y;System;System;2015-03-19;2015-03-19
2043;PAKET SAPO TAHU AYAM;P SPO TH AYM (S);23000;Y;N;Y;System;System;2015-03-19;2015-03-19
2044;PAKET SAPO TAHU SEAFOOD;P SPO TH SF (S);26000;Y;N;Y;System;System;2015-03-19;2015-03-19
2045;PAKET AYAM KULUYUK;P AYM KLYK (S);24000;Y;N;Y;System;System;2015-03-19;2015-03-19
2046;PAKET UDANG KULUYUK;P UDG KLYK (S);25000;Y;N;Y;System;System;2015-03-19;2015-03-19
2047;CAP CAY GORENG;CCY GR (S);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
2048;CAP CAY GR SEAFOOD;CCY GR SF (S);30000;Y;N;Y;System;System;2015-03-19;2015-03-19
2049;CAP CAY KUAH;CCY KUAH (S);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
2050;CAP CAY KUAH SEAFOOD;CCY KUAH SF (S);30000;Y;N;Y;System;System;2015-03-19;2015-03-19
2051;KANGKUNG CAH POLOS;KKUNG C PLS (S);16000;Y;N;Y;System;System;2015-03-19;2015-03-19
2052;KANGKUNG CAH AYAM;KKUNG C AYM (S);23000;Y;N;Y;System;System;2015-03-19;2015-03-19
2053;KANGKUNG CAH UDANG;KKUNG C UDG (S);24000;Y;N;Y;System;System;2015-03-19;2015-03-19
2054;KANGKUNG CAH CUMI;KKUNG C CUMI (S);25000;Y;N;Y;System;System;2015-03-19;2015-03-19
2055;TOGE TAHU CAH IKAN ASIN;TG THU C IKN ASN (S);23000;Y;N;Y;System;System;2015-03-19;2015-03-19
2056;TOGE CAH IKAN ASIN;TG C IKN ASN (S);21000;Y;N;Y;System;System;2015-03-19;2015-03-19
2057;AYAM KULUYUK;AYM KULUYUK (S);31000;Y;N;Y;System;System;2015-03-19;2015-03-19
2058;AYAM CAH JAMUR;AYM C JMR (S);29000;Y;N;Y;System;System;2015-03-19;2015-03-19
2059;SAPO TAHU AYAM;SPO THU AYM (S);29000;Y;N;Y;System;System;2015-03-19;2015-03-19
2060;SAPO TAHU SEAFOOD;SPO THU SF (S);31000;Y;N;Y;System;System;2015-03-19;2015-03-19
2061;MUN TAHU AYAM;MUN THU AYM (S);26000;Y;N;Y;System;System;2015-03-19;2015-03-19
2062;MUN TAHU UDANG;MUN THU AYM JMR (S);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
2063;TAHU CAH AYAM JAMUR;THU C AYM JMR (S);26000;Y;N;Y;System;System;2015-03-19;2015-03-19
2064;UDANG KULUYUK;UDG KLUYUK (S);33000;Y;N;Y;System;System;2015-03-19;2015-03-19
2065;AYAM RICA-RICA;AYM RCA-RCA (S);35000;Y;N;Y;System;System;2015-03-19;2015-03-19
2066;AYAM GORENG MENTEGA;AYM GR MTG (S);35000;Y;N;Y;System;System;2015-03-19;2015-03-19
2067;AYAM GORENG TEPUNG;AYM GR TPG (S);33000;Y;N;Y;System;System;2015-03-19;2015-03-19
2068;AYAM NANKING;AYM NANKING (S);37000;Y;N;Y;System;System;2015-03-19;2015-03-19
2069;AYAM GORENG KERING;AYM GR KRING (S);35000;Y;N;Y;System;System;2015-03-19;2015-03-19
2070;BISTIK AYAM;BSTK AYM (S);33000;Y;N;Y;System;System;2015-03-19;2015-03-19
2071;PUYUNG HAI;PY HAI (S);30000;Y;N;Y;System;System;2015-03-19;2015-03-19
2072;UDANG GORENG MENTEGA;UDG GR MTG (S);38000;Y;N;Y;System;System;2015-03-19;2015-03-19
2073;UDANG GORENG TEPUNG;UDG GR TPG (S);36000;Y;N;Y;System;System;2015-03-19;2015-03-19
2074;CUMI GORENG TEPUNG;CM GR TPG (S);35000;Y;N;Y;System;System;2015-03-19;2015-03-19
2075;CUMI GORENG MENTEGA;CM GR MTG (S);36000;Y;N;Y;System;System;2015-03-19;2015-03-19
2076;BASO KUAH;BSO KUAH (S);14000;Y;N;Y;System;System;2015-03-19;2015-03-19
2077;BASO PANGSIT KUAH;BSO PGST KUAH (S);14000;Y;N;Y;System;System;2015-03-19;2015-03-19
2078;PANGSIT KUAH;PGST KUAH (S);14000;Y;N;Y;System;System;2015-03-19;2015-03-19
2079;PANGSIT GORENG;PGST GR (S);14000;Y;N;Y;System;System;2015-03-19;2015-03-19
3001;MIE AYAM;MIE AYM;16000;Y;N;Y;System;System;2015-03-19;2015-03-19
3002;MIE AYAM BASO;MIE AYM BSO;20000;Y;N;Y;System;System;2015-03-19;2015-03-19
3003;MIE AYAM PANGSIT;MI AYM PGST;20000;Y;N;Y;System;System;2015-03-19;2015-03-19
3004;MIE AYAM BASO PANGSIT;MIE AYM BSO PGST;22000;Y;N;Y;System;System;2015-03-19;2015-03-19
3005;BIHUN AYAM;BHM AYM;16000;Y;N;Y;System;System;2015-03-19;2015-03-19
3006;BIHUN AYAM BASO;BHN AYM BSO;20000;Y;N;Y;System;System;2015-03-19;2015-03-19
3007;BIHUN AYAM PANGSIT;BHN AYM PGST;20000;Y;N;Y;System;System;2015-03-19;2015-03-19
3008;BIHUN AYAM BASO PANGSIT;BHN AYM BSO PGST;22000;Y;N;Y;System;System;2015-03-19;2015-03-19
3009;KWETIAU AYAM;KWET AYM;17000;Y;N;Y;System;System;2015-03-19;2015-03-19
3010;KWETIAU AYAM BASO;KWET AYM BSO;21000;Y;N;Y;System;System;2015-03-19;2015-03-19
3011;KWETIAU AYAM PANGSIT;KWET AYM PGST;21000;Y;N;Y;System;System;2015-03-19;2015-03-19
3012;KWETIAU BASO PANGSIT;KWET AYM BSO PGST;23000;Y;N;Y;System;System;2015-03-19;2015-03-19
3013;GADO - GADO;GADO-GADO;17000;Y;N;Y;System;System;2015-03-19;2015-03-19
3014;GADO - GADO LONTONG;GADO-GADO LTG;19000;Y;N;Y;System;System;2015-03-19;2015-03-19
3015;GADO - GADO NASI;GADO-GADO NS;21000;Y;N;Y;System;System;2015-03-19;2015-03-19
3016;KAREDOK;KAREDOK;17000;Y;N;Y;System;System;2015-03-19;2015-03-19
3017;KAREDOK LONTONG;KAREDOK LTG;19000;Y;N;Y;System;System;2015-03-19;2015-03-19
3018;KAREDOK NASI;KAREDOK NS;21000;Y;N;Y;System;System;2015-03-19;2015-03-19
3019;KETOPRAK LONTONG;KETOPRAK LT;18000;Y;N;Y;System;System;2015-03-19;2015-03-19
3020;TELOR REBUS;TLR RBS;3500;Y;N;Y;System;System;2015-03-19;2015-03-19
3021;TELOR CEPLOK;TLR CPLK;3500;Y;N;Y;System;System;2015-03-19;2015-03-19
3022;TELOR DADAR;TLR DADAR;4500;Y;N;Y;System;System;2015-03-19;2015-03-19
3023;PEYEK;PEYEK;3500;Y;N;Y;System;System;2015-03-19;2015-03-19
4001;TEH ES;TEH ES;2000;Y;N;Y;System;System;2015-03-19;2015-03-19
4002;TEH ES MANIS;TEH ES MANIS;4000;Y;N;Y;System;System;2015-03-19;2015-03-19
4003;TEH MANIS;TEH MANIS;3000;Y;N;Y;System;System;2015-03-19;2015-03-19
4004;TEH HANGAT;TEH HANGAT;1000;Y;N;Y;System;System;2015-03-19;2015-03-19
4005;ES JERUK;ES JRK;9000;Y;N;Y;System;System;2015-03-19;2015-03-19
4006;JERUK HANGAT;JRK HANGAT;9000;Y;N;Y;System;System;2015-03-19;2015-03-19
4007;LEMON TEA;LEMON TEA;9000;Y;N;Y;System;System;2015-03-19;2015-03-19
4008;KOPI;KOPI;3000;Y;N;Y;System;System;2015-03-19;2015-03-19
4009;TEH BOTOL / PUCUK HARUM;TEH BTL/PCK;5000;Y;N;Y;System;System;2015-03-19;2015-03-19
4010;COCA COLA;COLA;5000;Y;N;Y;System;System;2015-03-19;2015-03-19
4011;FANTA /SPRITE;FANTA;5000;Y;N;Y;System;System;2015-03-19;2015-03-19
4012;AIR MINERAL BOTOL;AIR MNRL BTL;5000;Y;N;Y;System;System;2015-03-19;2015-03-19
4013;AIR MINERAL GELAS;AQUA GLS;1000;Y;N;Y;System;System;2015-03-19;2015-03-19
4014;JUS SIRSAK;JUS SIRSAK;10000;Y;N;Y;System;System;2015-03-19;2015-03-19
4015;JUS JAMBU;JUS JAMBU;10000;Y;N;Y;System;System;2015-03-19;2015-03-19
4016;JUS JERUK;JUS JERUK;10000;Y;N;Y;System;System;2015-03-19;2015-03-19
4017;JUS MELON;JUS MELON;10000;Y;N;Y;System;System;2015-03-19;2015-03-19
4018;JUS TOMAT;JUS TOMAT;10000;Y;N;Y;System;System;2015-03-19;2015-03-19
4019;JUS WORTEL;JUS WORTEL;10000;Y;N;Y;System;System;2015-03-19;2015-03-19
4020;JUS MANGGA;JUS MANGGA;10000;Y;N;Y;System;System;2015-03-19;2015-03-19
4021;JUS STOWBERI;JUS STOWBERI;10000;Y;N;Y;System;System;2015-03-19;2015-03-19
